;CODIGO;BIBLIOGRAFIA;TITULO;MINHA BIBLIOTECA;"EX. DA BIBLIOTECA
CT";"EX. DE OUTRAS DO
SIBI";N. DE CHAMADA;Status;TOTAL EXEMPLARES;Classification
0;GA138;Básica;Instituto Nacional de Colonização e Reforma Agrária (INCRA). Manual Técnico para Georreferenciamento de Imóveis Rurais. 2ª edição. Brasília: INCRA, 2022. Disponível em: URL. Disponível em: https://sigef.incra.gov.br/static/documentos/manual_geo_imoveis.pdf; ; ; ; ;Online;0;Apenas Online
1;GA138;Básica;Instituto Nacional de Colonização e Reforma Agrária (INCRA). Manual para Gestão da Certificação de Imóveis Rurais. 1ª edição. Brasília: INCRA, 2022. Disponível em: URL. Disponível em: https://sigef.incra.gov.br/static/documentos/manual_gestao_%20certif.pdf; ; ; ; ;Online;0;Apenas Online
2;GA138;Básica;CARNEIRO, A. F. T. Cadastro Imobiliário e Registro de Imóveis. Instituto de Registro Imobiliário do Brasil. Porto Alegre, 1ª Edição, 2003. 272p.; ;2;0;346.81 C820;Offline;2;Apenas Físico
3;GA138;Básica;CONSELHO FEDERAL DE ENGENHARIA E AGRONOMIA (CONFEA). Cartilha do Cadastro Urbano: Orientações para Elaboração de Cadastro Técnico Multifinalitário e Regularização Fundiária Urbana. Brasília, DF: CONFEA, agosto de 2019. Disponível em: https://www.confea.org.br/sites/default/files/uploads-imce/Cartilha_Cadastro_Urbano_ago2019.pdf.; ; ; ; ;Online;0;Apenas Online
4;GA138;Básica;"MARQUES, Benedito F.; MARQUES, Carla Regina S. Direito Agrário Brasileiro, 12ª edição. São Paulo: Grupo GEN, 2016. E-book. ISBN 9788597009118. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/9788597009118/. "; ; ; ; ;Online;0;Apenas Online
5;GA138;Complementar;ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS. NBR 14166: Rede de referência cadastral municipal - procedimento. Rio de Janeiro, 1998. 23p. Disponível em: http://www.carto.eng.uerj.br/cdecart/download/NBR14166.pdf. Acesso em: 31 jul. 2023.; ; ; ; ;Online;0;Apenas Online
6;GA138;Complementar;ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS. NBR 14166: Rede de Referência Cadastral Municipal- Procedimento.Rio de Janeiro – RJ, 2022 . Disponível em: https://www.normas.com.br/visualizar/abnt-nbr-nm/10905/abnt-nbr14166-rede-de-referencia-cadastral-municipal-requisitos-e-procedimento. Acesso em: 31 jul. 2023.; ; ; ; ;Online;0;Apenas Online
7;GA138;Complementar;ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS. NBR 13133: Execução de levantamento topográfico. Rio de Janeiro, 1994. 35p. Disponível em: http://www.carto.eng.uerj.br/cdecart/download/NBR13133.pdf. Acesso em: 31 jul. 2023.; ; ; ; ;Online;0;Apenas Online
8;GA138;Complementar;ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS. NBR 13133: Execução de Levantamento Topográfico. Rio de Janeiro – RJ, 2021. Disponível em: https://www.normas.com.br/visualizar/abnt-nbr-nm/6400/abnt-nbr13133-execucao-de-levantamento-topografico-procedimento. Acesso em: 31 jul. 2023.; ; ; ; ;Online;0;Apenas Online
9;GA138;Complementar;BRASIL. Lei nº 6.015/73. Dispõe sobre os registros públicos, e dá outras providências. Brasília, 31 de dezembro de 1973. Disponível em: http://www.planalto.gov.br/ccivil_03/leis/leis_2001/l10267.htm; ; ; ; ;Online;0;Apenas Online
10;GA138;Complementar;BRASIL. Lei nº 10.267/01. Altera dispositivos das Leis nos 4.947, de 6 de abril de 1966, 5.868, de 12 de dezembro de 1972, 6.015, de 31 de dezembro de 1973, 6.739, de 5 de dezembro de 1979, 9.393, de 19 de dezembro de 1996, e dá outras providências. Brasília, 28 de agosto de 2001. Disponível em: http://www.planalto.gov.br/ccivil_03/leis/leis_2001/l10267.htm; ; ; ; ;Online;0;Apenas Online
11;GA138;Complementar;BRASIL. Lei nº 13.465/2017. Dispõe sobre a regularização fundiária rural e urbanae dá outras providências. Brasília, 11 de julho de 2017. Disponível em: https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/lei/l13465.htm; ; ; ; ;Online;0;Apenas Online
12;GA138;Complementar;DSG. Norma da Especificação Técnica para Controle de Qualidade de Dados Geoespaciais (ET-CQDG). Brasil, 2016. Disponível em: https://bdgex.eb.mil.br/portal/media/cqdg/ET_CQDG_1a_edicao_2016.pdf; ; ; ; ;Online;0;Apenas Online
13;GA139;Básica;CADERNO BRASILEIRO DE AVALIAÇÕES A PERICIAS. Porto Alegre, RS: Avalie Engenharia Avaliações e Perícias, 1989. ISSN Outras frequências.; ;6;0;CT-CT-1296;Offline;6;Apenas Físico
14;GA139;Básica;FREITAS, Julio Assis de. Laudos e perícias em engenharia. Editora Saraiva, 2021. E-book. ISBN 9786589965541. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/9786589965541/. Acesso em: 31 jul. 2023.; ; ; ; ;Online;0;Apenas Online
15;GA139;Básica;MAIA NETO, Francisco. Introdução à engenharia de avaliações e perícias . Belo Horizonte, MG: Del Rey, 1992. 168 p., tab. Bibliografia: p. 168.; ;1;1;620.0151 M217i;Offline;2;Apenas Físico
16;GA139;Complementar;FIKER, Jose. Manual de avaliaçoes e perícias em imóveis urbanos . São Paulo, SP: Pinni, 2001. 131p., il., tabs. Inclui bibliografia. ISBN 8572661344 (broch.).; ;2;0;620.0151 F478m;Offline;2;Apenas Físico
17;GA139;Complementar;"SOARES, Juliane A.; SÁ, Yuri Vasconcelos de A. Práticas periciais em registros audiovisuais. [Digite o Local da Editora]: Editora Saraiva, 2021. E-book. ISBN 9786589965770. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/9786589965770/. Acesso em: 31 jul. 2023."; ; ; ; ;Online;0;Apenas Online
18;GA139;Complementar;MOREIRA, José Carlos B. O novo processo civil brasileiro. [Digite o Local da Editora]: Grupo GEN, 2012. E-book. ISBN 978-85-309-4385-1. Disponível em: https://integrada.minhabiblioteca.com.br/#/books/978-85-309-4385-1/. Acesso em: 31 jul. 2023.; ; ; ; ;Online;0;Apenas Online
19;GA139;Complementar;FIKER, J. Manual de Redação de Laudos de Avaliação de Imóveis. PINI, 1991.; ;0;0; ;Offline;0;Apenas Físico
20;GA139;Complementar;IMAPE. Fundamentos de Avaliações Patrimoniais e Perícias de Engenharia. Editora PINI, 1998.; ;2;0;620.0151 F981;Offline;2;Apenas Físico
21;GA140;Básica;ESPARTEL, L. Curso de Topografia. 9 ed. Rio de Janeiro, Globo, 1987. ISBN 8525002224;-;9;0;526.98 E77 9.ed.;Offline;9;Apenas Físico
22;GA140;Básica;FAGGION, Pedro Luis. Obtenção dos elementos de calibração e certificação de medidores eletrônicos de distância em campo e laboratório. 2001. 130 f. Tese (doutorado) - Universidade Federal do Paraná. Disponível em: http://hdl.handle.net/1884/41975. Acesso em: 31 jul. 2023.; ; ; ; ;Online;0;Apenas Online
23;GA140;Básica;MATOS, Érica Santos. Modelagem matemática para a determinação de coordenadas tridimensionais de pontos ocultos em topografia. 2017. 131 f. Tese (doutorado) - Universidade Federal do Paraná, Setor de Ciências da Terra, Programa de Pós-Graduação em Ciências Geodésicas. Defesa: Curitiba, 16/02/2017. Disponível em: http://hdl.handle.net/1884/47449. Acesso em: 31 jul. 2023.; ; ; ; ;Online;0;Apenas Online
24;GA140;Complementar;ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS. NBR 14166: Rede de referência cadastral municipal - procedimento. Rio de Janeiro, 1998. 23p. Disponível em: http://www.carto.eng.uerj.br/cdecart/download/NBR14166.pdf. Acesso em: 31 jul. 2023.; ; ; ; ;Online;0;Apenas Online
25;GA140;Complementar;ASSOCIAÇÃO BRASILEIRA DE NORMAS TÉCNICAS. NBR 14166: Rede de Referência Cadastral Municipal- Procedimento.Rio de Janeiro – RJ, 2022 . Disponível em: https://www.normas.com.br/visualizar/abnt-nbr-nm/10905/abnt-nbr14166-rede-de-referencia-cadastral-municipal-requisitos-e-procedimento. Acesso em: 31 jul. 2023.; ; ; ; ;Online;0;Apenas Online
